,filename,path,width,height,class,xmin,ymin,xmax,ymax
0,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,70,56,131,99
1,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,170,112,223,137
2,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,143,121,164,167
3,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,187,224,264,275
4,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,27,254,90,289
5,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,136,296,194,321
6,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,22,350,97,388
7,37.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/37.jpg,300,470,isolator,90,405,112,449
8,104.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/104.jpg,800,555,isolator,131,177,621,284
9,29.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/29.jpg,640,447,isolator,160,77,261,246
10,15.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/15.jpg,800,588,isolator,375,182,430,365
11,88.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/88.jpg,698,600,isolator,4,206,163,357
12,88.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/88.jpg,698,600,isolator,192,114,559,360
13,101.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/101.jpg,491,600,isolator,154,32,419,261
14,101.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/101.jpg,491,600,isolator,20,298,333,568
15,48.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/48.jpg,242,160,isolator,34,67,187,104
16,39.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/39.jpg,450,300,isolator,110,142,334,211
17,34.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/34.jpg,800,588,isolator,319,137,479,367
18,116.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/116.jpg,269,194,isolator,108,45,162,124
19,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,23,109,95,156
20,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,106,179,164,297
21,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,74,191,120,387
22,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,375,118,432,169
23,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,409,189,449,389
24,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,425,180,473,294
25,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,735,115,779,167
26,77.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/77.jpg,800,587,isolator,747,176,791,393
27,52.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/52.jpg,733,600,isolator,54,181,164,244
28,52.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/52.jpg,733,600,isolator,195,297,297,354
29,52.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/52.jpg,733,600,isolator,316,84,416,182
30,52.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/52.jpg,733,600,isolator,443,209,539,298
31,52.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/52.jpg,733,600,isolator,556,322,651,405
32,52.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/52.jpg,733,600,isolator,346,398,415,452
33,112.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/112.jpg,640,447,isolator,177,128,386,234
34,13.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/13.jpg,450,320,isolator,110,39,342,213
35,33.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/33.jpg,217,545,isolator,14,88,203,489
36,165.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/165.jpg,450,300,isolator,57,85,154,127
37,165.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/165.jpg,450,300,isolator,165,128,249,179
38,165.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/165.jpg,450,300,isolator,317,102,401,159
39,165.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/165.jpg,450,300,isolator,219,58,313,99
40,165.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/165.jpg,450,300,isolator,20,148,108,198
41,127.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/127.jpg,800,588,isolator,42,272,285,520
42,127.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/127.jpg,800,588,isolator,333,1,587,230
43,127.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/127.jpg,800,588,isolator,292,249,351,418
44,46.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/46.jpg,800,587,isolator,1,1,800,534
45,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,27,236,61,272
46,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,102,229,139,273
47,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,176,229,213,274
48,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,372,227,416,270
49,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,460,220,501,267
50,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,545,218,586,265
51,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,536,316,564,350
52,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,549,300,572,327
53,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,459,299,478,327
54,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,371,300,384,326
55,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,168,298,185,325
56,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,84,299,109,324
57,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,6,297,36,324
58,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,30,310,59,346
59,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,103,310,135,348
60,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,185,311,215,350
61,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,356,315,384,347
62,85.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/85.jpg,640,433,isolator,445,315,472,349
63,154.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/154.jpg,640,426,isolator,112,23,449,387
64,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,25,266,95,292
65,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,88,351,135,422
66,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,154,182,273,222
67,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,174,279,261,319
68,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,278,261,319,359
69,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,331,242,416,294
70,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,495,323,526,364
71,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,527,331,547,378
72,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,519,171,558,286
73,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,558,144,626,178
74,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,607,172,633,209
75,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,636,175,661,225
76,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,586,228,599,240
77,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,559,73,587,107
78,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,590,78,601,94
79,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,726,330,758,346
80,161.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/161.jpg,800,450,isolator,382,68,505,124
81,63.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/63.jpg,373,600,isolator,84,128,231,429
82,55.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/55.jpg,400,600,isolator,1,95,383,600
83,91.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/91.jpg,800,587,isolator,150,150,486,307
84,91.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/91.jpg,800,587,isolator,235,119,775,464
85,164.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/164.jpg,220,285,isolator,84,81,95,131
86,164.jpg,/home/bartek/Workspace/isolators/data/isolators/train_images/164.jpg,220,285,isolator,127,145,141,201
