,filename,path,width,height,class,xmin,ymin,xmax,ymax
0,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,330,55,451,139
1,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,575,37,663,112
2,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,527,111,593,159
3,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,575,241,656,310
4,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,351,252,460,323
5,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,530,299,589,355
6,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,574,414,651,479
7,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,371,425,470,486
8,60.jpg,/home/bartek/Workspace/isolators/data/main/images/60.jpg,777,600,isolator,533,463,590,521
9,52.jpg,/home/bartek/Workspace/isolators/data/main/images/52.jpg,733,600,isolator,54,181,164,244
10,52.jpg,/home/bartek/Workspace/isolators/data/main/images/52.jpg,733,600,isolator,195,297,297,354
11,52.jpg,/home/bartek/Workspace/isolators/data/main/images/52.jpg,733,600,isolator,316,84,416,182
12,52.jpg,/home/bartek/Workspace/isolators/data/main/images/52.jpg,733,600,isolator,443,209,539,298
13,52.jpg,/home/bartek/Workspace/isolators/data/main/images/52.jpg,733,600,isolator,556,322,651,405
14,52.jpg,/home/bartek/Workspace/isolators/data/main/images/52.jpg,733,600,isolator,346,398,414,451
15,13.jpg,/home/bartek/Workspace/isolators/data/main/images/13.jpg,450,320,isolator,110,39,343,213
16,19.jpg,/home/bartek/Workspace/isolators/data/main/images/19.jpg,800,588,isolator,257,165,505,331
17,35.jpg,/home/bartek/Workspace/isolators/data/main/images/35.jpg,450,319,isolator,208,42,337,184
18,35.jpg,/home/bartek/Workspace/isolators/data/main/images/35.jpg,450,319,isolator,1,103,273,218
19,120.jpg,/home/bartek/Workspace/isolators/data/main/images/120.jpg,240,195,isolator,35,23,59,63
20,120.jpg,/home/bartek/Workspace/isolators/data/main/images/120.jpg,240,195,isolator,24,81,39,134
21,120.jpg,/home/bartek/Workspace/isolators/data/main/images/120.jpg,240,195,isolator,102,88,118,137
22,120.jpg,/home/bartek/Workspace/isolators/data/main/images/120.jpg,240,195,isolator,167,95,187,138
23,120.jpg,/home/bartek/Workspace/isolators/data/main/images/120.jpg,240,195,isolator,191,45,223,80
24,120.jpg,/home/bartek/Workspace/isolators/data/main/images/120.jpg,240,195,isolator,120,35,150,71
25,127.jpg,/home/bartek/Workspace/isolators/data/main/images/127.jpg,800,588,isolator,42,272,285,520
26,127.jpg,/home/bartek/Workspace/isolators/data/main/images/127.jpg,800,588,isolator,333,1,587,230
27,127.jpg,/home/bartek/Workspace/isolators/data/main/images/127.jpg,800,588,isolator,292,249,353,419
28,102.jpg,/home/bartek/Workspace/isolators/data/main/images/102.jpg,450,600,isolator,6,24,247,237
29,102.jpg,/home/bartek/Workspace/isolators/data/main/images/102.jpg,450,600,isolator,159,255,439,501
30,86.jpg,/home/bartek/Workspace/isolators/data/main/images/86.jpg,347,540,isolator,167,176,230,242
31,86.jpg,/home/bartek/Workspace/isolators/data/main/images/86.jpg,347,540,isolator,96,257,155,315
32,86.jpg,/home/bartek/Workspace/isolators/data/main/images/86.jpg,347,540,isolator,31,329,88,380
33,86.jpg,/home/bartek/Workspace/isolators/data/main/images/86.jpg,347,540,isolator,90,407,105,449
